feature,importance
turb_mean,0.11985330283641815
slope,0.11353617906570435
sst_var,0.08692470192909241
distance_to_shore,0.08267973363399506
wave_mean,0.06097628176212311
sst_mean,0.06032111123204231
sal_mean,0.056123293936252594
wave_std,0.048727985471487045
current_mean,0.044116027653217316
wind_mean,0.041200052946805954
wind_std,0.04087068513035774
cyclone,0.03971622511744499
rain_mean,0.036338064819574356
chl_std,0.03317168727517128
chl_mean,0.029459433630108833
turb_std,0.026940731331706047
rain_std,0.01965690590441227
extreme_rain,0.01644928939640522
depth,0.015837538987398148
sal_std,0.015195866115391254
heat_stress_freq,0.011904830113053322
sal_shock_days,0.0
extreme_wave_days,0.0
