record_id,site_name,lat,lon,nearest_km,nearest_grid_lat,nearest_grid_lon
V11-007,,9.317,79.33191666666666,1.0243846451711889,9.326146090138533,79.33079761555194
V11-008,,9.32825,79.31277777777777,1.9910151886241436,9.326146090138533,79.33079761555194
V11-005,,9.27613888888889,79.14588888888889,2.802890944746989,9.254280867408973,79.13316825304565
V11-009,,9.322833333333334,79.29994444444445,3.405366156096726,9.326146090138533,79.33079761555194
V11-018,,9.287638888888887,79.12547222222221,3.711931288693144,9.254280867408973,79.12418510020446
V11-017,,9.287805555555556,79.13327777777778,3.7277946165104803,9.254280867408973,79.13316825304565
V11-019,,9.289,79.10499999999999,3.862907699629218,9.254280867408973,79.10621879452206
V11-010,,9.320916666666667,79.29291666666667,4.1970004220734145,9.326146090138533,79.33079761555194
V11-006,,9.194916666666668,79.40525000000001,4.2715835503134585,9.200381950361798,79.36673022691673
V11-016,,9.29138888888889,79.14469444444445,4.315751204680796,9.254280867408973,79.13316825304565
V11-020,,9.294972222222222,79.08533333333332,4.535998675105792,9.254280867408973,79.08825248883967
V11-023,,9.33313888888889,79.01538888888889,5.21687247709962,9.380045007185704,79.01638726611012
V11-021,,9.305833333333334,79.05425,5.996416201189791,9.254280867408973,79.0702861831573
V11-003,,9.283888888888889,79.17936111111112,6.044603966886631,9.254280867408973,79.13316825304565
V11-004,,9.263472222222225,79.22111111111111,6.066613515586403,9.209365103202996,79.2140166286164
V11-022,,9.322611111111112,79.02883333333334,6.397649732666319,9.380045007185704,79.02537041895131
V11-011,,9.297944444444443,79.27197222222222,7.176300081951092,9.326146090138533,79.33079761555194
V11-012,,9.29275,79.26163888888888,8.448668134225754,9.326146090138533,79.33079761555194
V11-002,,9.291416666666668,79.22027777777778,9.149557533189904,9.209365103202996,79.2140166286164
V11-013,,9.291777777777778,79.254,9.253083262660805,9.326146090138533,79.33079761555194
V11-001,,9.29213888888889,79.23238888888889,9.422296609017803,9.209365103202996,79.2140166286164
V11-015,,9.292305555555556,79.23966666666666,9.64262013518385,9.209365103202996,79.2140166286164
V11-014,,9.29227777777778,79.24508333333334,9.82972567920765,9.209365103202996,79.2140166286164
