review_priority,record_id,lat,lon,p_calibrated,p_raw,p_raw_std,dist_to_pos_km,regime_bin,subregion_id,maps_url,source_type,source_name,source_reference,species,label,coordinate_precision_km,confidence_score,verify_multidate_pass,verify_raft_persistence_pass,verify_not_port_shipping_pass,verify_env_gate_pass,verified_dates,species_confirmed,is_verified,qa_reviewer,qa_status,rationale,notes
1,rp_v1_1p1_0001,9.08583934912498,79.71010529750085,0.6666667,0.9237366,0.0,1.9747785822213864,2_3_2_0,2,"https://www.google.com/maps?q=9.08583934912498,79.71010529750085",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.6666667,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
2,rp_v1_1p1_0002,9.49906437981996,79.74603790886562,0.6666667,0.9317886,0.0,1.399828714470158,0_2_1_2,6,"https://www.google.com/maps?q=9.49906437981996,79.74603790886562",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.6666667,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
3,rp_v1_1p1_0003,9.508047532661156,79.73705475602442,0.6666667,0.9483175,0.0,0.9934169455618506,0_2_1_3,6,"https://www.google.com/maps?q=9.508047532661156,79.73705475602442",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.6666667,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
4,rp_v1_1p1_0004,9.112788807648569,79.70112214465965,0.6666667,0.97428495,0.0,0.993408690605801,3_2_2_0,2,"https://www.google.com/maps?q=9.112788807648569,79.70112214465965",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.6666667,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
5,rp_v1_1p1_0005,9.12177196048976,79.71908845034204,0.6666667,0.9711392,0.0,0.9934022843725304,3_1_2_0,2,"https://www.google.com/maps?q=9.12177196048976,79.71908845034204",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.6666667,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
6,rp_v1_1p1_0007,9.094822501966176,79.68315583897726,0.6666667,0.9336253,0.0,0.9873698620584028,3_2_3_0,2,"https://www.google.com/maps?q=9.094822501966176,79.68315583897726",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.6666667,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
7,rp_v1_1p1_0010,9.112788807648569,79.7729873673892,0.6666667,0.95637554,0.0,0.9872901945247682,2_2_2_0,3,"https://www.google.com/maps?q=9.112788807648569,79.7729873673892",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.6666667,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
8,rp_v1_1p1_0013,9.328384475837252,79.30586341964705,0.6666667,0.95574063,0.0,0.9868881446793468,0_3_2_3,5,"https://www.google.com/maps?q=9.328384475837252,79.30586341964705",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.6666667,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
9,rp_v1_1p1_0014,9.328384475837252,79.32382972532945,0.6666667,0.94858074,0.0,0.9868792454130436,1_2_1_2,5,"https://www.google.com/maps?q=9.328384475837252,79.32382972532945",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.6666667,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
10,rp_v1_1p1_0015,9.526013838343546,79.74603790886562,0.6666667,0.93658817,0.0,0.9861393282955028,1_3_1_3,10,"https://www.google.com/maps?q=9.526013838343546,79.74603790886562",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.6666667,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
11,rp_v1_1p1_0016,9.534996991184745,79.73705475602442,0.6666667,0.92812157,0.0,0.9861168641319789,0_3_1_3,10,"https://www.google.com/maps?q=9.534996991184745,79.73705475602442",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.6666667,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
12,rp_v1_1p1_0017,9.68771058948506,79.76400421454801,0.6666667,0.92269737,0.0,0.9856613711081172,1_1_0_1,11,"https://www.google.com/maps?q=9.68771058948506,79.76400421454801",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.6666667,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
13,rp_v1_1p1_0020,9.508047532661156,79.74603790886562,0.4,0.91477096,0.0,1.3997931670545714,1_1_1_3,6,"https://www.google.com/maps?q=9.508047532661156,79.74603790886562",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.4,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
14,rp_v1_1p1_0021,9.247536100266496,79.08128459861717,0.4,0.9138435,0.0,0.98723907025089,3_2_3_1,0,"https://www.google.com/maps?q=9.247536100266496,79.08128459861717",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.4,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
15,rp_v1_1p1_0022,9.301435017313668,79.09026775145837,0.4,0.90418804,0.0,0.9870831625965868,0_0_2_0,4,"https://www.google.com/maps?q=9.301435017313668,79.09026775145837",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.4,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
16,rp_v1_1p1_0023,8.421086038876535,79.7819705202304,0.2846154,0.124217555,0.0,67.54838902651097,2_3_2_1,3,"https://www.google.com/maps?q=8.421086038876535,79.7819705202304",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.2846154,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
17,rp_v1_1p1_0025,9.211603488901714,79.35976233669423,0.2846154,0.13623385,0.0,12.285080365190993,3_3_3_0,1,"https://www.google.com/maps?q=9.211603488901714,79.35976233669423",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.2846154,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
18,rp_v1_1p1_0026,9.220586641742909,79.35976233669423,0.2846154,0.083595216,0.0,11.323327494030458,2_3_3_0,1,"https://www.google.com/maps?q=9.220586641742909,79.35976233669423",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.2846154,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
19,rp_v1_1p1_0027,9.517030685502352,79.62925692193008,0.2846154,0.10496715,0.0,11.028253599897411,3_1_1_1,9,"https://www.google.com/maps?q=9.517030685502352,79.62925692193008",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.2846154,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
20,rp_v1_1p1_0029,9.526013838343546,79.62925692193008,0.2846154,0.0668863,0.0,10.893049635115991,3_2_1_2,9,"https://www.google.com/maps?q=9.526013838343546,79.62925692193008",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.2846154,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
21,rp_v1_1p1_0030,9.534996991184745,79.62925692193008,0.2846154,0.06558135,0.0,10.84751248342726,3_1_1_2,9,"https://www.google.com/maps?q=9.534996991184745,79.62925692193008",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.2846154,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
22,rp_v1_1p1_0031,9.229569794584105,79.36874548953543,0.2846154,0.069459364,0.0,10.691380637811022,1_2_3_1,1,"https://www.google.com/maps?q=9.229569794584105,79.36874548953543",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.2846154,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
23,rp_v1_1p1_0032,9.229569794584105,79.35976233669423,0.2846154,0.08179205,0.0,10.367576594842015,1_3_3_0,1,"https://www.google.com/maps?q=9.229569794584105,79.35976233669423",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.2846154,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
24,rp_v1_1p1_0033,9.517030685502352,79.63824007477128,0.2846154,0.08884075,0.0,10.059778158054948,2_2_1_2,9,"https://www.google.com/maps?q=9.517030685502352,79.63824007477128",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.2846154,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
25,rp_v1_1p1_0038,9.508047532661156,79.63824007477128,0.2846154,0.1509191,0.0,9.725282216046356,2_2_1_0,5,"https://www.google.com/maps?q=9.508047532661156,79.63824007477128",satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,Kappaphycus alvarezii,1,1.0,0.2846154,False,False,False,False,,False,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD"
